presence_time,scroll_position,button_clicks,title_page,paragraph_1,paragraph_2,paragraph_3
0.0,0,1,React App,,"Hello everyone, My name is Diego Ozuna, I am a senior here at CSUSB and will graduate in December 2024. I am majoring in Computer Science with a minor in Mathematics. Since transfering, I have been on the Dean's List. I want to work closely with Machine Learning and AI which is why I am interested mostly in the field of Data Science.",
2.0931320190429688,52,2,React App,,,"My hobbies are film photography and video games. I like to play first-person shooters, MOBAs, and some survival games. My interest in photography comes from a class I took in highschool."
4.137423038482666,52,3,React App,Here is a list of my classes below...,,
6.184225797653198,52,4,React App,,"Hello everyone, My name is Diego Ozuna, I am a senior here at CSUSB and will graduate in December 2024. I am majoring in Computer Science with a minor in Mathematics. Since transfering, I have been on the Dean's List. I want to work closely with Machine Learning and AI which is why I am interested mostly in the field of Data Science.",
8.230412006378174,52,5,React App,,,"My hobbies are film photography and video games. I like to play first-person shooters, MOBAs, and some survival games. My interest in photography comes from a class I took in highschool."
10.277260541915894,52,6,React App,Here is a list of my classes below...,,
12.339795112609863,52,7,React App,,"Hello everyone, My name is Diego Ozuna, I am a senior here at CSUSB and will graduate in December 2024. I am majoring in Computer Science with a minor in Mathematics. Since transfering, I have been on the Dean's List. I want to work closely with Machine Learning and AI which is why I am interested mostly in the field of Data Science.",
14.386386632919312,52,8,React App,,,"My hobbies are film photography and video games. I like to play first-person shooters, MOBAs, and some survival games. My interest in photography comes from a class I took in highschool."
16.42941951751709,52,9,React App,Here is a list of my classes below...,,
18.470064878463745,52,10,React App,,"Hello everyone, My name is Diego Ozuna, I am a senior here at CSUSB and will graduate in December 2024. I am majoring in Computer Science with a minor in Mathematics. Since transfering, I have been on the Dean's List. I want to work closely with Machine Learning and AI which is why I am interested mostly in the field of Data Science.",
20.509677410125732,52,11,React App,,,"My hobbies are film photography and video games. I like to play first-person shooters, MOBAs, and some survival games. My interest in photography comes from a class I took in highschool."
22.547752618789673,52,12,React App,Here is a list of my classes below...,,
24.590667963027954,52,13,React App,,"Hello everyone, My name is Diego Ozuna, I am a senior here at CSUSB and will graduate in December 2024. I am majoring in Computer Science with a minor in Mathematics. Since transfering, I have been on the Dean's List. I want to work closely with Machine Learning and AI which is why I am interested mostly in the field of Data Science.",
26.630385398864746,52,14,React App,,,"My hobbies are film photography and video games. I like to play first-person shooters, MOBAs, and some survival games. My interest in photography comes from a class I took in highschool."
28.66762399673462,52,15,React App,Here is a list of my classes below...,,
